nohup: ignoring input
[21:49:35.313] Namespace(data='brain', snapshot_path='./work_dir/ped0213/brain', data_prefix='/data/pyhData/MedSAM-MedSAM2/data/npz_train/BraTS-PED', rand_crop_size=(256, 256, 256), device_ids='0,1', batch_size=1, num_classes=2, lr=0.0004, max_epoch=50, eval_interval=4, resume=False, num_worker=6, tolerance=5)
/home/pyh/.conda/envs/sam2_in_med/lib/python3.10/site-packages/monai/utils/deprecate_utils.py:321: FutureWarning: monai.transforms.croppad.dictionary CropForegroundd.__init__:allow_smaller: Current default value of argument `allow_smaller=True` has been deprecated since version 1.2. It will be changed to `allow_smaller=False` in version 1.5.
  warn_deprecated(argname, msg, warning_category)
seg:  metatensor(48988.)
seg:  metatensor(34683.)
seg:  metatensor(13664.)
seg:  metatensor(67108.)
seg:  metatensor(17227.)
seg:  metatensor(156616.)
seg:  metatensor(79003.)
seg:  metatensor(22044.)
seg:  metatensor(29448.)
seg:  metatensor(102488.)
seg:  metatensor(11675.)
seg:  metatensor(31659.)
seg:  metatensor(58783.)
seg:  metatensor(68398.)
seg:  metatensor(15261.)
seg:  metatensor(20970.)
seg:  metatensor(29904.)
seg:  metatensor(23187.)
seg:  metatensor(23205.)
seg:  metatensor(30501.)
seg:  metatensor(65930.)
seg:  metatensor(20079.)
seg:  metatensor(44636.)
seg:  metatensor(168512.)
seg:  metatensor(22054.)
seg:  metatensor(68322.)
seg:  metatensor(63405.)
seg:  metatensor(30502.)
seg:  metatensor(19664.)
seg:  metatensor(66267.)
seg:  metatensor(22143.)
seg:  metatensor(21077.)
seg:  metatensor(16746.)
seg:  metatensor(28701.)
seg:  metatensor(21993.)
seg:  metatensor(109723.)
seg:  metatensor(72705.)
seg:  metatensor(167836.)
seg:  metatensor(41615.)
seg:  metatensor(139820.)
seg:  metatensor(17251.)
seg:  metatensor(17475.)
seg:  metatensor(111680.)
seg:  metatensor(68275.)
seg:  metatensor(114293.)
seg:  metatensor(41611.)
seg:  metatensor(72705.)
seg:  metatensor(29585.)
seg:  metatensor(40006.)
seg:  metatensor(63503.)
seg:  metatensor(111587.)
seg:  metatensor(161010.)
seg:  metatensor(69122.)
seg:  metatensor(28969.)
seg:  metatensor(20827.)
seg:  metatensor(102625.)
seg:  metatensor(156623.)
seg:  metatensor(27747.)
seg:  metatensor(59849.)
seg:  metatensor(152107.)
seg:  metatensor(16386.)
seg:  metatensor(77075.)
seg:  metatensor(61608.)
seg:  metatensor(11125.)
seg:  metatensor(111129.)
seg:  metatensor(19547.)
seg:  metatensor(67050.)
seg:  metatensor(22535.)
seg:  metatensor(20026.)
seg:  metatensor(20026.)
seg:  metatensor(169633.)
seg:  metatensor(22825.)
seg:  metatensor(111679.)
seg:  metatensor(34683.)
seg:  metatensor(54452.)
seg:  metatensor(43280.)
seg:  metatensor(15044.)
seg:  metatensor(15411.)
seg:  metatensor(43106.)
seg:  metatensor(135606.)
seg:  metatensor(30957.)
seg:  metatensor(100047.)
seg:  metatensor(56746.)
seg:  metatensor(30185.)
seg:  metatensor(12623.)
seg:  metatensor(34825.)
seg:  metatensor(119649.)
seg:  metatensor(121996.)
seg:  metatensor(34633.)
seg:  metatensor(17439.)
seg:  metatensor(41241.)
seg:  metatensor(30470.)
seg:  metatensor(54439.)
seg:  metatensor(49829.)
seg:  metatensor(16430.)
seg:  metatensor(21607.)
seg:  metatensor(988.)
seg:  metatensor(161010.)
seg:  metatensor(22613.)
seg:  metatensor(63503.)
seg:  metatensor(11569.)
seg:  metatensor(24168.)
seg:  metatensor(119482.)
seg:  metatensor(19701.)
seg:  metatensor(22613.)
seg:  metatensor(51646.)
seg:  metatensor(988.)
seg:  metatensor(109723.)
seg:  metatensor(57511.)
seg:  metatensor(109118.)
seg:  metatensor(167836.)
seg:  metatensor(43196.)
seg:  metatensor(22825.)
seg:  metatensor(32530.)
seg:  metatensor(19578.)
seg:  metatensor(41270.)
seg:  metatensor(168512.)
seg:  metatensor(22573.)
seg:  metatensor(42979.)
seg:  metatensor(27373.)
seg:  metatensor(23861.)
seg:  metatensor(71479.)
seg:  metatensor(161471.)
seg:  metatensor(80214.)
seg:  metatensor(24158.)
seg:  metatensor(73197.)
seg:  metatensor(102423.)
seg:  metatensor(11577.)
seg:  metatensor(111176.)
seg:  metatensor(84201.)
seg:  metatensor(44639.)
seg:  metatensor(33876.)
seg:  metatensor(10292.)
seg:  metatensor(36716.)
seg:  metatensor(48109.)
seg:  metatensor(27722.)
seg:  metatensor(22636.)
seg:  metatensor(34012.)
seg:  metatensor(139738.)
seg:  metatensor(16417.)
seg:  metatensor(102582.)
seg:  metatensor(36739.)
seg:  metatensor(20827.)
seg:  metatensor(111587.)
seg:  metatensor(154614.)
seg:  metatensor(16320.)
seg:  metatensor(111679.)
seg:  metatensor(111202.)
seg:  metatensor(43196.)
seg:  metatensor(109723.)
seg:  metatensor(33904.)
seg:  metatensor(69122.)
seg:  metatensor(43196.)
seg:  metatensor(169633.)
seg:  metatensor(33904.)
seg:  metatensor(29460.)
seg:  metatensor(48988.)
seg:  metatensor(119482.)
seg:  metatensor(84234.)
seg:  metatensor(61863.)
seg:  metatensor(31458.)
seg:  metatensor(35599.)
